課碼,系所,課程標題,授課教師,課程類型,學分數,上課地點,上課時間,選課方法,授課方法,課程連結,課程概述,選課狀況-名額,選課狀況-選上人數,選課狀況-剩餘名額,選課狀況-已登記
31,中國文學系,東海課程-中國文學系聲韻學(陳瑤玲老師1132-31) ,,必修課,2-2,H309,"四/3,4",,,https://course.thu.edu.tw/view/113/2/31,, 60,24            ,36,
32,中國文學系,東海課程-中國文學系歷代文選及習作(陳慶元老師1132-32) ,,必修課,3-3,H206,"二/2,3,4",,,https://course.thu.edu.tw/view/113/2/32,, 60,36            ,24,
33,中國文學系,東海課程-中國文學系中國思想史(黃繼立老師1132-33) ,,必修課,3-3,H307,"三/2,3,4",,,https://course.thu.edu.tw/view/113/2/33,, 60,53            ,7,
34,中國文學系,東海課程-中國文學系聲韻學(謝博霖老師1132-34) ,,必修課,2-2,H306,"一/3,4",,,https://course.thu.edu.tw/view/113/2/34,, 60,56            ,4,
35,中國文學系,東海課程-中國文學系歷代文選及習作(郭章裕老師1132-35) ,,必修課,3-3,A104,"四/2,3,4",,,https://course.thu.edu.tw/view/113/2/35,, 60,43            ,17,
36,中國文學系,東海課程-中國文學系中國思想史(李忠達老師1132-36) ,,必修課,3-3,A105,"二/2,3,4",,,https://course.thu.edu.tw/view/113/2/36,, 60,33            ,27,
37,中國文學系,東海課程-中國文學系訓詁學(周玟慧老師1132-37) ,,必修課,2-2,H305,"四/3,4",,,https://course.thu.edu.tw/view/113/2/37,, 60,52            ,8,
38,中國文學系,東海課程-中國文學系詞曲選及習作(李佳蓮老師1132-38) ,,必修課,2-2,H307,"一/3,4",,,https://course.thu.edu.tw/view/113/2/38,, 60,46            ,14,
39,中國文學系,東海課程-中國文學系訓詁學(王安碩老師1132-39) ,,必修課,2-2,A104,"二/3,4",,,https://course.thu.edu.tw/view/113/2/39,, 60,38            ,22,
40,中國文學系,東海課程-中國文學系詞曲選及習作(李佳蓮老師1132-40) ,,必修課,2-2,H207,"三/3,4",,,https://course.thu.edu.tw/view/113/2/40,, 60,41            ,19,
41,中國文學系,東海課程-中國文學系臺灣地方戲曲欣賞(李佳蓮老師1132-41) ,,選修課,0-3,H122,"四/5,6,7",,,https://course.thu.edu.tw/view/113/2/41,, 60,61            ,-1,
42,中國文學系,東海課程-中國文學系韓柳文(鍾曉峰老師1132-42) ,,選修課,0-3,H122,"三/6,7,8",,,https://course.thu.edu.tw/view/113/2/42,, 60,53            ,7,
43,中國文學系,東海課程-中國文學系現代小說閱讀與創作(劉淑貞老師1132-43) ,,選修課,0-3,H307,"三/6,7,8",,,https://course.thu.edu.tw/view/113/2/43,, 35,33            ,2,
44,中國文學系,東海課程-中國文學系西遊記(謝文華老師1132-44) ,,選修課,0-3,H305,"二/5,6,7",,,https://course.thu.edu.tw/view/113/2/44,, 60,85            ,-25,
45,中國文學系,東海課程-中國文學系現代詩閱讀與創作(林餘佐老師1132-45) ,,選修課,0-3,H209,"五/2,3,4",,,https://course.thu.edu.tw/view/113/2/45,, 60,65            ,-5,
46,中國文學系,東海課程-中國文學系當代編輯學：理論與實務(李時雍老師1132-46) ,,選修課,0-3,H206,"一/7,8,9",,,https://course.thu.edu.tw/view/113/2/46,, 60,78            ,-18,
47,中國文學系,東海課程-中國文學系創作與出版(周芬伶老師1132-47) ,,選修課,0-2,H535,"四/6,7",,,https://course.thu.edu.tw/view/113/2/47,, 35,23            ,12,
48,中國文學系,東海課程-中國文學系史記(劉榮賢老師1132-48) ,,選修課,0-2,H207,"五/3,4",,,https://course.thu.edu.tw/view/113/2/48,, 60,71            ,-11,
49,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/49,,,,,
50,中國文學系,東海課程-中國文學系宋明理學(黃繼立老師1132-50) ,,選修課,0-3,H209,"四/5,6,7",,,https://course.thu.edu.tw/view/113/2/50,, 60,41            ,19,
51,中國文學系,東海課程-中國文學系文心雕龍(郭章裕老師1132-51) ,,選修課,0-3,H122,"五/2,3,4",,,https://course.thu.edu.tw/view/113/2/51,, 60,52            ,8,
52,中國文學系,東海課程-中國文學系宋明道教思想(李忠達老師1132-52) ,,選修課,0-3,H308,"五/2,3,4",,,https://course.thu.edu.tw/view/113/2/52,, 60,50            ,10,
53,中國文學系,東海課程-中國文學系文學策展：理論與實務(朱衣仙老師1132-53) ,,選修課,0-3,H106,"五/6,7,8",,,https://course.thu.edu.tw/view/113/2/53,, 30,29            ,1,
54,中國文學系,東海課程-中國文學系新聞報導實作(黃兆璽老師1132-54) ,,選修課,0-2,H106,"三/7,8",,,https://course.thu.edu.tw/view/113/2/54,, 60,26            ,34,
55,中國文學系,東海課程-中國文學系當代戲曲與劇場（113）(高禎臨老師1132-55) ,,選修課,0-3,H209,"二/5,6,7",,,https://course.thu.edu.tw/view/113/2/55,, 60,71            ,-11,
56,中國文學系,東海課程-中國文學系當代戲曲與劇場實作（113）(高禎臨老師1132-56) ,,選修課,0-2,MD1612,"一/6,7",,,https://course.thu.edu.tw/view/113/2/56,, 60,23            ,37,
57,中國文學系,東海課程-中國文學系華語教學實作(黃悅琪老師1132-57) ,,選修課,0-2,H209,"四/8,9",,,https://course.thu.edu.tw/view/113/2/57,, 30,24            ,6,
58,中國文學系,東海課程-中國文學系校外實習-創意寫作教學(朱衣仙老師1132-58) ,,選修課,0-2,地點資訊不完整,,,,https://course.thu.edu.tw/view/113/2/58,, 30,8            ,22,
59,中國文學系,東海課程-中國文學系中文（僑生班）(李皇誼老師1132-59) ,,必修課,2-2,H209,"二/8,9,五/8,9",,,https://course.thu.edu.tw/view/113/2/59,, 70,10            ,60,
60,中國文學系,東海課程-中國文學系世說新語(陳慶元老師1132-60) ,,選修課,0-3,H204,"三/5,6,7",,,https://course.thu.edu.tw/view/113/2/60,, 60,94            ,-34,
61,中國文學系,東海課程-中國文學系文學與電影(李皇誼老師1132-61) ,,選修課,0-2,H305,"四/6,7",,,https://course.thu.edu.tw/view/113/2/61,, 60,57            ,3,
62,中國文學系,東海課程-中國文學系修辭學(林鴻瑞老師1132-62) ,,選修課,0-2,H305,"五/6,7",,,https://course.thu.edu.tw/view/113/2/62,, 60,57            ,3,
63,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/63,,,,,
64,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/64,,,,,
65,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/65,,,,,
66,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/66,,,,,
67,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/67,,,,,
68,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/68,,,,,
69,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/69,,,,,
70,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/70,,,,,
71,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/71,,,,,
72,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/72,,,,,
73,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/73,,,,,
74,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/74,,,,,
75,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/75,,,,,
76,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/76,,,,,
77,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/77,,,,,
78,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/78,,,,,
79,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/79,,,,,
80,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/80,,,,,
81,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/81,,,,,
82,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/82,,,,,
83,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/83,,,,,
84,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/84,,,,,
85,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/85,,,,,
86,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/86,,,,,
87,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/87,,,,,
88,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/88,,,,,
89,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/89,,,,,
90,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/90,,,,,
91,外國語文學系,東海課程-外國語文學系英語口語訓練（一）(陳漢玉老師1132-91) ,,必修課,2-2,LAN015,"一/3,4",,,https://course.thu.edu.tw/view/113/2/91,, 20,16            ,4,
92,外國語文學系,東海課程-外國語文學系英文作文（一）(陳漢玉老師1132-92) ,,必修課,2-2,LAN015,"三/3,4",,,https://course.thu.edu.tw/view/113/2/92,, 20,18            ,2,
93,外國語文學系,東海課程-外國語文學系英語口語訓練（一）(張雅惠老師1132-93) ,,必修課,2-2,LAN010,"一/3,4",,,https://course.thu.edu.tw/view/113/2/93,, 15,21            ,-6,
94,外國語文學系,東海課程-外國語文學系英文作文（一）(張雅惠老師1132-94) ,,必修課,2-2,LAN213,"三/3,4",,,https://course.thu.edu.tw/view/113/2/94,, 15,23            ,-8,
95,外國語文學系,東海課程-外國語文學系英語口語訓練（一）(陳玫樺老師1132-95) ,,必修課,2-2,LAN011,"一/3,4",,,https://course.thu.edu.tw/view/113/2/95,, 15,25            ,-10,
96,外國語文學系,東海課程-外國語文學系英文作文（一）(陳玫樺老師1132-96) ,,必修課,2-2,LAN011,"三/3,4",,,https://course.thu.edu.tw/view/113/2/96,, 15,24            ,-9,
97,外國語文學系,東海課程-外國語文學系西洋文學作品導讀（二）(吳彥祺老師1132-97) ,,必修課,0-3,LAN009,"五/3,4",,,https://course.thu.edu.tw/view/113/2/97,, 50,38            ,12,
98,外國語文學系,東海課程-外國語文學系西洋文學作品導讀（二）(Mieke  Desmet老師1132-98) ,,必修課,0-3,LAN010,"一/8,9,三/8",,,https://course.thu.edu.tw/view/113/2/98,, 50,52            ,-2,
99,外國語文學系,東海課程-外國語文學系西洋文學作品導讀（二）(林宜玲老師1132-99) ,,必修課,0-3,LAN011,"二/3,五/3,4",,,https://course.thu.edu.tw/view/113/2/99,, 50,48            ,2,
100,外國語文學系,東海課程-外國語文學系一年法文(Rémy Mettetal老師1132-100) ,,必修課,3-3,LAN009,"三/2,五/1,2",,,https://course.thu.edu.tw/view/113/2/100,, 30,35            ,-5,
101,外國語文學系,東海課程-外國語文學系法語實踐(Rémy Mettetal老師1132-101) ,,必修課,1-1,LAN009,三/1,,,https://course.thu.edu.tw/view/113/2/101,, 30,35            ,-5,
102,外國語文學系,東海課程-外國語文學系一年德文(Manfred Sablotny(夏慕帆)老師1132-102) ,,必修課,3-3,LAN010,"三/2,五/1,2",,,https://course.thu.edu.tw/view/113/2/102,, 30,29            ,1,
103,外國語文學系,東海課程-外國語文學系德語實踐(Manfred Sablotny(夏慕帆)老師1132-103) ,,必修課,1-1,LAN010,三/1,,,https://course.thu.edu.tw/view/113/2/103,, 30,28            ,2,
104,外國語文學系,東海課程-外國語文學系一年西班牙文(林麗涒老師1132-104) ,,必修課,3-3,LAN011,"三/2,五/1,2",,,https://course.thu.edu.tw/view/113/2/104,, 35,47            ,-12,
105,外國語文學系,東海課程-外國語文學系西班牙語實踐(林麗涒老師1132-105) ,,必修課,1-1,LAN011,三/1,,,https://course.thu.edu.tw/view/113/2/105,, 35,45            ,-10,
106,外國語文學系,東海課程-外國語文學系英語口語訓練（一）(邱嘉慧老師1132-106) ,,必修課,2-2,LAN011,"二/6,7",,,https://course.thu.edu.tw/view/113/2/106,, 15,20            ,-5,
107,外國語文學系,東海課程-外國語文學系英文作文（一）(邱嘉慧老師1132-107) ,,必修課,2-2,LAN214,"四/3,4",,,https://course.thu.edu.tw/view/113/2/107,, 15,21            ,-6,
108,外國語文學系,東海課程-外國語文學系英語口語訓練（一）(Daniel Cothran老師1132-108) ,,必修課,2-2,LAN002,"一/3,4",,,https://course.thu.edu.tw/view/113/2/108,, 15,19            ,-4,
109,外國語文學系,東海課程-外國語文學系英文作文（一）(蔡佳蓉老師1132-109) ,,必修課,2-2,LAN002,"三/3,4",,,https://course.thu.edu.tw/view/113/2/109,, 15,21            ,-6,
110,外國語文學系,東海課程-外國語文學系英語口語訓練（二）(吳凱琳老師1132-110) ,,必修課,2-2,LAN214,"二/8,9",,,https://course.thu.edu.tw/view/113/2/110,, 15,18            ,-3,
111,外國語文學系,東海課程-外國語文學系英文作文（二）(吳凱琳老師1132-111) ,,必修課,2-2,LAN214,"四/6,7",,,https://course.thu.edu.tw/view/113/2/111,, 15,17            ,-2,
112,外國語文學系,東海課程-外國語文學系英語口語訓練（二）(劉美惠老師1132-112) ,,必修課,2-2,LAN005,"四/3,4",,,https://course.thu.edu.tw/view/113/2/112,, 15,17            ,-2,
113,外國語文學系,東海課程-外國語文學系英文作文（二）(劉美惠老師1132-113) ,,必修課,2-2,LAN012,"二/6,7",,,https://course.thu.edu.tw/view/113/2/113,, 20,17            ,3,
114,外國語文學系,東海課程-外國語文學系英語口語訓練（二）(郭宜蕙老師1132-114) ,,必修課,2-2,LAN009,"四/1,2",,,https://course.thu.edu.tw/view/113/2/114,, 15,27            ,-12,
115,外國語文學系,東海課程-外國語文學系英文作文（二）(郭宜蕙老師1132-115) ,,必修課,2-2,A101,"二/3,4",,,https://course.thu.edu.tw/view/113/2/115,, 15,17            ,-2,
116,外國語文學系,東海課程-外國語文學系語言學概論.(江丕賢老師1132-116) ,,必修課,2-2,H304,"一/3,4",,,https://course.thu.edu.tw/view/113/2/116,, 60,48            ,12,
117,外國語文學系,東海課程-外國語文學系英語口語訓練（二）(江丕賢老師1132-117) ,,必修課,2-2,LAN009,"一/1,2",,,https://course.thu.edu.tw/view/113/2/117,, 15,14            ,1,
118,外國語文學系,東海課程-外國語文學系英文作文（二）(江丕賢老師1132-118) ,,必修課,2-2,LAN012,"五/1,2",,,https://course.thu.edu.tw/view/113/2/118,, 15,15            ,0,
119,外國語文學系,東海課程-外國語文學系英語口語訓練（二）(蕭季樺老師1132-119) ,,必修課,2-2,LAN001,"二/3,4",,,https://course.thu.edu.tw/view/113/2/119,, 15,15            ,0,
120,外國語文學系,東海課程-外國語文學系英文作文（二）(蕭季樺老師1132-120) ,,必修課,2-2,LAN213,"四/3,4",,,https://course.thu.edu.tw/view/113/2/120,, 15,14            ,1,
121,外國語文學系,東海課程-外國語文學系英語口語訓練（二）(郭宜蕙老師1132-121) ,,必修課,2-2,LAN015-1,"五/1,2",,,https://course.thu.edu.tw/view/113/2/121,, 15,14            ,1,
122,外國語文學系,東海課程-外國語文學系英文作文（二）(郭宜蕙老師1132-122) ,,必修課,2-2,LAN009,"二/1,2",,,https://course.thu.edu.tw/view/113/2/122,, 15,22            ,-7,
123,外國語文學系,東海課程-外國語文學系語言學概論.(蕭季樺老師1132-123) ,,必修課,2-2,LAN009,"三/7,8",,,https://course.thu.edu.tw/view/113/2/123,, 60,43            ,17,
124,外國語文學系,東海課程-外國語文學系二年法文(Rémy Mettetal老師1132-124) ,,必修課,3-3,H205,五/3,,,https://course.thu.edu.tw/view/113/2/124,, 35,34            ,1,
125,外國語文學系,東海課程-外國語文學系二年德文(Manfred Sablotny(夏慕帆)老師1132-125) ,,必修課,3-3,LAN013,"三/3,4",,,https://course.thu.edu.tw/view/113/2/125,, 35,24            ,11,
126,外國語文學系,東海課程-外國語文學系二年西班牙文(羅琇君老師1132-126) ,,必修課,3-3,LAN010,"三/3,4",,,https://course.thu.edu.tw/view/113/2/126,, 40,35            ,5,
127,外國語文學系,東海課程-外國語文學系英語口語訓練（三）(彭貴絹老師1132-127) ,,必修課,2-2,LAN013,"二/3,4",,,https://course.thu.edu.tw/view/113/2/127,, 15,17            ,-2,
128,外國語文學系,東海課程-外國語文學系英文作文（三）(彭貴絹老師1132-128) ,,必修課,2-2,LAN214,"三/3,4",,,https://course.thu.edu.tw/view/113/2/128,, 15,16            ,-1,
129,外國語文學系,東海課程-外國語文學系英語口語訓練（三）(林宜玲老師1132-129) ,,必修課,2-2,LAN010,"二/1,2",,,https://course.thu.edu.tw/view/113/2/129,, 15,28            ,-13,
130,外國語文學系,東海課程-外國語文學系英文作文（三）(林宜玲老師1132-130) ,,必修課,2-2,A108,"五/1,2",,,https://course.thu.edu.tw/view/113/2/130,, 15,27            ,-12,
131,外國語文學系,東海課程-外國語文學系英語口語訓練（三）(吳彥祺老師1132-131) ,,必修課,2-2,LAN214,"一/3,4",,,https://course.thu.edu.tw/view/113/2/131,, 15,20            ,-5,
132,外國語文學系,東海課程-外國語文學系英文作文（三）(吳彥祺老師1132-132) ,,必修課,2-2,LAN013,"四/7,8",,,https://course.thu.edu.tw/view/113/2/132,, 15,18            ,-3,
133,外國語文學系,東海課程-外國語文學系英國文學 (二)(蔡奇璋老師1132-133) ,,必修課,0-3,H205,三/7,,,https://course.thu.edu.tw/view/113/2/133,, 60,80            ,-20,
134,外國語文學系,東海課程-外國語文學系英語口語訓練（三）(蔡奇璋老師1132-134) ,,必修課,2-2,LAN015-1,"四/7,8",,,https://course.thu.edu.tw/view/113/2/134,, 15,23            ,-8,
135,外國語文學系,東海課程-外國語文學系英文作文（三）(蔡奇璋老師1132-135) ,,必修課,2-2,LAN011,"二/8,9",,,https://course.thu.edu.tw/view/113/2/135,, 15,24            ,-9,
136,外國語文學系,東海課程-外國語文學系英國文學 (四)(吳彥祺老師1132-136) ,,必修課,0-3,LAN111,"五/6,7,8",,,https://course.thu.edu.tw/view/113/2/136,, 60,81            ,-21,
137,外國語文學系,東海課程-外國語文學系英語口語訓練（三）(Mieke  Desmet老師1132-137) ,,必修課,2-2,H120,"一/3,4",,,https://course.thu.edu.tw/view/113/2/137,, 15,17            ,-2,
138,外國語文學系,東海課程-外國語文學系英文作文（三）(Mieke  Desmet老師1132-138) ,,必修課,2-2,H121,"三/3,4",,,https://course.thu.edu.tw/view/113/2/138,, 15,17            ,-2,
139,外國語文學系,東海課程-外國語文學系美國文學（二）(張雅惠老師1132-139) ,,必修課,0-3,H309,"二/3,4",,,https://course.thu.edu.tw/view/113/2/139,, 60,71            ,-11,
140,外國語文學系,東海課程-外國語文學系英語發音(陳玫樺老師1132-140) ,,選修課,0-2,LAN015-1,"二/5,6",,,https://course.thu.edu.tw/view/113/2/140,, 35,30            ,5,
141,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/141,,,,,
142,外國語文學系,東海課程-外國語文學系希臘羅馬神話(張雅惠老師1132-142) ,,選修課,0-2,H306,"三/6,7",,,https://course.thu.edu.tw/view/113/2/142,, 35,67            ,-32,
143,外國語文學系,東海課程-外國語文學系散文選讀(吳凱琳老師1132-143) ,,選修課,0-2,LAN009,"四/8,9",,,https://course.thu.edu.tw/view/113/2/143,, 40,41            ,-1,
144,外國語文學系,東海課程-外國語文學系英詩選讀(林宜玲老師1132-144) ,,選修課,0-2,LAN111,"三/1,2",,,https://course.thu.edu.tw/view/113/2/144,, 40,72            ,-32,
145,外國語文學系,東海課程-外國語文學系文化研究初探 (Nicholas Sumares老師1132-145) ,,選修課,0-2,LAN111,"二/8,9",,,https://course.thu.edu.tw/view/113/2/145,, 40,42            ,-2,
146,外國語文學系,東海課程-外國語文學系社會語言學(郭士行老師1132-146) ,,選修課,0-2,H208,"三/5,6",,,https://course.thu.edu.tw/view/113/2/146,, 40,66            ,-26,
147,外國語文學系,東海課程-外國語文學系女性文學：二十世紀以後(郭士行老師1132-147) ,,選修課,0-2,LAN009,"四/5,6",,,https://course.thu.edu.tw/view/113/2/147,, 40,60            ,-20,
148,外國語文學系,東海課程-外國語文學系莎士比亞：喜劇 (蔡奇璋老師1132-148) ,,選修課,0-2,LAN012,"二/3,4",,,https://course.thu.edu.tw/view/113/2/148,, 40,48            ,-8,
149,外國語文學系,東海課程-外國語文學系英語教學：理論與實務(劉美惠老師1132-149) ,,選修課,0-2,LAN111,"三/8,9",,,https://course.thu.edu.tw/view/113/2/149,, 35,34            ,1,
150,外國語文學系,東海課程-外國語文學系外語實務實習（二）(郭士行老師1132-150) ,,選修課,0-3,地點資訊不完整,,,,https://course.thu.edu.tw/view/113/2/150,, 15,5            ,10,
